,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
2,《Motor City Moments》,环球唱片,2000-09-25,小提琴,乐器,Higher Ground,Regina Carter,http://musicdata.baidu.com/data2/lrc/12553551/12553551.lrc,2
2,《Motor City Moments》,环球唱片,2000-09-25,小提琴,乐器,For Someone I Love,Regina Carter,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833476/288833476.lrc,2
2,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Csardas - Gypsy Dance,David Garrett,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288822376/288822376.lrc,2
2,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Eliza's Song,David Garrett,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288822741/288822741.lrc,2
2,《Impulsive Unmixed》,环球唱片,2008-04-09,小提琴,乐器,Astral Traveling,Pharoah Sanders,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288823970/288823970.lrc,2
2,《Rhythms Of The Heart》,环球唱片,1999-04-26,小提琴,乐器,Mojito,Regina Carter,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288823970/288823970.lrc,2
2,《Dizzy: The Music Of John Birks Gillespie》,环球唱片,2008-04-18,小提琴,乐器,Caravan,Dizzy Gillespie,http://musicdata.baidu.com/data2/lrc/12748664/12748664.lrc,2
2,《The Aviator Music From The Motion Picture》,SONY MUSIC,2005-01-20,小提琴,乐器,After You'Ve Gone,Loudon Wainwright III,http://musicdata.baidu.com/data2/lrc/12746575/12746575.lrc,2
3,《The Aviator Music From The Motion Picture》,SONY MUSIC,2005-01-20,小提琴,乐器,I'Ll Build A Stairway To Paradise,Rufus Wainwright,http://musicdata.baidu.com/data2/lrc/12746575/12746575.lrc,3
3,《Mosaic》,环球唱片,2006-08-21,小提琴,乐器,Spinnaker,Caribbean Jazz Project,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833468/288833468.lrc,3
3,《Romantic Callas》,EMI,2003-03-03,小提琴,乐器,La Mamma Morta,Maria Callas,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833468/288833468.lrc,3
3,《A Tribute to John Williams - An 80th Birthday Celebration》,索尼音乐,2012-02-27,小提琴,乐器,Theme from Schindler's List,John Williams,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833468/288833468.lrc,3
3,《Original Album Classics》,SONY MUSIC,2011-04-11,小提琴,乐器,Meeting Of The Spirits,Mahavishnu Orchestra,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833468/288833468.lrc,3
3,《Afro》,环球唱片,2002-04-08,小提琴,乐器,Caravan,Dizzy Gillespie,http://musicdata.baidu.com/data2/lrc/16675492/16675492.lrc,3
3,《Place De BrouckèRe》,环球唱片,2008-04-23,小提琴,乐器,Nuages,Django Reinhardt,http://musicdata.baidu.com/data2/lrc/13610411/13610411.lrc,3
3,《Place De BrouckèRe》,环球唱片,2008-04-23,小提琴,乐器,Djangology,Django Reinhardt,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288821733/288821733.lrc,3
3,《André Rieu Im Wunderland / André Rieu In Wonderland》,环球唱片,2008-05-05,小提琴,乐器,Somewhere Over The Rainbow,Andre Rieu,http://musicdata.baidu.com/data2/lrc/12634322/12634322.lrc,3
3,《Triple Best Of André Rieu》,环球唱片,2010-01-13,小提琴,乐器,Somewhere Over The Rainbow,Andre Rieu,http://musicdata.baidu.com/data2/lrc/7ec05f821788dd2d39713cfca7be7489/260735372/260735372.lrc,3
3,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Csardas: Gypsy Dance (The Ganas Mix),David Garrett,http://musicdata.baidu.com/data2/lrc/7ec05f821788dd2d39713cfca7be7489/260735372/260735372.lrc,3
3,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Eliza'S Song,David Garrett,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288821895/288821895.lrc,3
3,《Dizzy'S Diamonds - The Best Of The Verve Years》,环球唱片,1992-12-04,小提琴,乐器,Caravan,Dizzy Gillespie,http://musicdata.baidu.com/data2/lrc/12622980/12622980.lrc,3
3,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Serenade,David Garrett,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/268574008/268574008.lrc,3
3,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Paganini Rhapsody (On Caprice 24),David Garrett,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288822470/288822470.lrc,3
3,《旧爱新欢》,滚石唱片,1997-01-01,小提琴,乐器,谢谢你曾经爱我,潘越云,http://musicdata.baidu.com/data2/lrc/15414598/15414598.lrc,3
3,《张信哲Jeff情歌精选》,未知,2005-06-10,小提琴,乐器,信仰,张信哲,http://musicdata.baidu.com/data2/lrc/13914512/13914512.lrc,3
3,《三年两语》,环球唱片,1995-11-01,小提琴,乐器,旧情绵绵,张学友,http://musicdata.baidu.com/data2/lrc/13840776/13840776.lrc,3
3,《张学友4合1珍藏集》,环球唱片,2009-07-14,小提琴,乐器,旧情绵绵,张学友,http://musicdata.baidu.com/data2/lrc/14742675/14742675.lrc,3
3,《得心应手演唱会2006》,环球唱片,2006-03-31,小提琴,乐器,情非首尔,李克勤,http://musicdata.baidu.com/data2/lrc/7334963/7334963.lrc,3
4,《我与你》,环球唱片,2005-12-13,小提琴,乐器,旧情绵绵,张学友,http://musicdata.baidu.com/data2/lrc/15434365/15434365.lrc,4
4,《你的克勤演奏厅》,环球唱片,2008-04-03,小提琴,乐器,情非首尔,李克勤,http://musicdata.baidu.com/data2/lrc/7333247/7333247.lrc,4
4,《Di-Dar》,环球唱片,1995-12-01,小提琴,乐器,或者,王菲,http://musicdata.baidu.com/data2/lrc/7363796/7363796.lrc,4
4,《浪漫演唱会'89》,环球唱片,2010-10-20,小提琴,乐器,变奏,谭咏麟,http://musicdata.baidu.com/data2/lrc/7324747/7324747.lrc,4
4,《港乐.Alan Live 2002》,环球唱片,2009-07-14,小提琴,乐器,变奏,谭咏麟,http://musicdata.baidu.com/data2/lrc/7363495/7363495.lrc,4
4,《李克勤演奏厅Ⅱ》,环球唱片,2006-11-01,小提琴,乐器,情非首尔,李克勤,http://musicdata.baidu.com/data2/lrc/246979816/246979816.lrc,4
4,《学与友演唱会》,环球唱片,1994-12-01,小提琴,乐器,旧情绵绵,张学友,http://musicdata.baidu.com/data2/lrc/240457001/240457001.lrc,4
4,《Sony Music-Man 世界巡回演唱会》,SONY MUSIC,2009-09-04,小提琴,乐器,落叶归根,王力宏,http://musicdata.baidu.com/data2/lrc/251699536/251699536.lrc,4
4,《Sony Music-Man 世界巡回演唱会》,SONY MUSIC,2009-09-04,小提琴,乐器,流泪手心,王力宏,http://musicdata.baidu.com/data2/lrc/246653109/246653109.lrc,4
4,《The Only One》,SONY MUSIC,2003-05-08,小提琴,乐器,Julia,王力宏,http://musicdata.baidu.com/data2/lrc/7582953/7582953.lrc,4
4,《The Only One》,SONY MUSIC,2003-05-08,小提琴,乐器,流泪手心,王力宏,http://musicdata.baidu.com/data2/lrc/23148362/23148362.lrc,4
4,《Evolution 音乐进化论(95-02 新歌+精选)》,SONY MUSIC,2002-10-02,小提琴,乐器,流泪手心,王力宏,http://musicdata.baidu.com/data2/lrc/7582936/7582936.lrc,4
4,《Evolution 音乐进化论(95-02 新歌+精选)》,SONY MUSIC,2002-10-02,小提琴,乐器,Julia,王力宏,http://musicdata.baidu.com/data2/lrc/13907414/13907414.lrc,4
4,《从开始到现在 》,SONY MUSIC,2002-06-21,小提琴,乐器,爱不留,张信哲,http://musicdata.baidu.com/data2/lrc/13875437/13875437.lrc,4
4,《从开始到现在 》,SONY MUSIC,2002-06-21,小提琴,乐器,信仰,张信哲,http://musicdata.baidu.com/data2/lrc/121894892/121894892.lrc,4
4,《挚爱》,潮水音乐,1997-03-31,小提琴,乐器,背叛,张信哲,http://musicdata.baidu.com/data2/lrc/678214/678214.lrc,4
4,《K情歌 5》,SONY MUSIC,2008-04-18,小提琴,乐器,流泪手心,王力宏,http://musicdata.baidu.com/data2/lrc/612392/612392.lrc,4
4,《谭咏麟极品之选》,环球唱片,2003-04-01,小提琴,乐器,变奏,谭咏麟,http://musicdata.baidu.com/data2/lrc/489210/489210.lrc,4
4,《Jeff情歌精选》,SONY MUSIC,2005-06-10,小提琴,乐器,信仰,张信哲,http://musicdata.baidu.com/data2/lrc/323078/323078.lrc,4
4,《信仰》,潮水音乐,2000-05-01,小提琴,乐器,信仰,张信哲,http://musicdata.baidu.com/data2/lrc/64535241/64535241.lrc,4
5,《不可能错过你》,SONY MUSIC,1999-06-22,小提琴,乐器,不降落的滑翔翼,王力宏,http://musicdata.baidu.com/data2/lrc/15026267/15026267.lrc,5
5,《不可能错过你》,SONY MUSIC,1999-06-22,小提琴,乐器,Julia,王力宏,http://musicdata.baidu.com/data2/lrc/15363806/15363806.lrc,5
5,《不可能错过你》,SONY MUSIC,1999-06-22,小提琴,乐器,流泪手心,王力宏,http://musicdata.baidu.com/data2/lrc/13824728/13824728.lrc,5
5,《改变自己》,SONY MUSIC,2007-06-28,小提琴,乐器,落叶归根,王力宏,http://musicdata.baidu.com/data2/lrc/13846151/13846151.lrc,5
5,《三十》,SONY MUSIC,2005-07-05,小提琴,乐器,寂寞公路,羽泉,http://musicdata.baidu.com/data2/lrc/13933100/13933100.lrc,5
5,《信仰》,潮水音乐,2000-05-01,小提琴,乐器,爱不留,张信哲,http://musicdata.baidu.com/data2/lrc/13895805/13895805.lrc,5
5,《仍是会喜欢你》,环球唱片,1989-04-01,小提琴,乐器,旧情绵绵,张学友,http://musicdata.baidu.com/data2/lrc/2130624/2130624.lrc,5
5,《情敌贝多芬》,SONY MUSIC,1995-12-01,小提琴,乐器,四季,王力宏,http://musicdata.baidu.com/data2/lrc/14914064/14914064.lrc,5
5,《Cafe’35》,SONY MUSIC,2004-11-02,小提琴,乐器,流泪手心,王力宏,http://musicdata.baidu.com/data2/lrc/81f830f3512518aad35e905db4a84984/270374224/270374224.lrc,5
5,《拥抱》,环球唱片,2010-09-25,小提琴,乐器,变奏,谭咏麟,http://musicdata.baidu.com/data2/lrc/2093450/2093450.lrc,5
5,获奖,环球唱片,2010-09-25,小提琴,乐器,情非首尔,李克勤,http://musicdata.baidu.com/data2/lrc/2076697/2076697.lrc,5
5,《黑暗之光》,SONY MUSIC,2006-11-30,小提琴,乐器,造字的人,雷光夏,http://musicdata.baidu.com/data2/lrc/2068398/2068398.lrc,5
5,《张学友4In1珍藏集》,环球唱片,2003-09-01,小提琴,乐器,旧情绵绵,张学友,http://musicdata.baidu.com/data2/lrc/13869488/13869488.lrc,5
5,《就是陈洁仪演唱会》,未知,2002-01-01,小提琴,乐器,喜欢你,陈洁仪,http://musicdata.baidu.com/data2/lrc/241237884/241237884.lrc,5
5,《张学友24K Gold金藏集 Cd2》,环球唱片,2007-04-25,小提琴,乐器,旧情绵绵,张学友,http://musicdata.baidu.com/data2/lrc/16266203/16266203.lrc,5
5,《弦歌有你》,英皇唱片,2007-01-30,小提琴,乐器,信仰,张信哲,http://musicdata.baidu.com/data2/lrc/121894934/121894934.lrc,5
5,《力宏二十 二十周年唯一精选》,SONY MUSIC,2015-07-24,小提琴,乐器,落叶归根,王力宏,http://musicdata.baidu.com/data2/lrc/245955039/245955039.lrc,5
5,《谭咏麟极品之选2》,SONY MUSIC,2004-11-26,小提琴,乐器,变奏,谭咏麟,http://musicdata.baidu.com/data2/lrc/1103852/1103852.lrc,5
5,《李克勤演奏厅》,环球唱片,2005-12-01,小提琴,乐器,情非首尔,李克勤,http://musicdata.baidu.com/data2/lrc/1103852/1103852.lrc,5
5,《火力全开》,SONY MUSIC,2011-09-30,小提琴,乐器,落叶归根,王力宏,http://musicdata.baidu.com/data2/lrc/13908372/13908372.lrc,5
6,《火力全开》,SONY MUSIC,2011-09-30,小提琴,乐器,Love Love Love,王力宏,http://musicdata.baidu.com/data2/lrc/13849722/13849722.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Somewhere,David Garrett,http://musicdata.baidu.com/data2/lrc/12546992/12546992.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Toccata,David Garrett,http://musicdata.baidu.com/data2/lrc/12546992/12546992.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Serenade,David Garrett,http://musicdata.baidu.com/data2/lrc/12546991/12546991.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Paganini Rhapsody (On Caprice 24),David Garrett,http://musicdata.baidu.com/data2/lrc/12546991/12546991.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Duelling Banjos,David Garrett,http://musicdata.baidu.com/data2/lrc/12546991/12546991.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Carmen Fantasie,David Garrett,http://musicdata.baidu.com/data2/lrc/12546991/12546991.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,La Califfa,David Garrett,http://musicdata.baidu.com/data2/lrc/0b6a69a00310f73ec42e4ebae912765f/268791442/268791442.lrc,6
6,《Free》,Digital Distribution Estonia,2007-10-22,小提琴,乐器,Nothing Else Matters,David Garrett,http://musicdata.baidu.com/data2/lrc/12546983/12546983.lrc,6
6,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Duelling Banjos,David Garrett,http://musicdata.baidu.com/data2/lrc/12546983/12546983.lrc,6
6,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,La Califfa,David Garrett,http://musicdata.baidu.com/data2/lrc/0b6a69a00310f73ec42e4ebae912765f/268791883/268791883.lrc,6
6,《Mtv Unplugged In New York》,环球唱片,1993-07-09,小提琴,乐器,Come As You Are,Nirvana,http://musicdata.baidu.com/data2/lrc/431562/431562.lrc,6
6,《Sliver - The Best Of The Box》,环球唱片,2006-05-20,小提琴,乐器,Come As You Are,Nirvana,http://musicdata.baidu.com/data2/lrc/1770059/1770059.lrc,6
6,《Nevermind》,环球唱片,2013-08-26,小提琴,乐器,Come As You Are,Nirvana,http://musicdata.baidu.com/data2/lrc/13914260/13914260.lrc,6
6,《Classified》,环球唱片,2014-05-08,小提琴,乐器,Lullaby,Bond,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288820510/288820510.lrc,6
6,《Singles Box Set》,环球唱片,2006-12-04,小提琴,乐器,Come As You Are,Nirvana,http://musicdata.baidu.com/data2/lrc/240805849/240805849.lrc,6
6,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Toccata,David Garrett,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288823906/288823906.lrc,6
6,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Somewhere,David Garrett,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288823906/288823906.lrc,6
6,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Carmen Fantasie,David Garrett,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288833197/288833197.lrc,6
6,《Virtuoso》,环球唱片,2008-03-24,小提琴,乐器,Nothing Else Matters,David Garrett,http://musicdata.baidu.com/data2/lrc/231ff633f6b5f508ebf27809aa693462/288832663/288832663.lrc,6
7,《选哲》,潮水音乐,1998-04-01,小提琴,乐器,背叛,张信哲,http://musicdata.baidu.com/data2/lrc/606342/606342.lrc,7
